,10_2.5,10_3,10_3.5,10_4,15_2.5,15_3,15_3.5,15_4,20_2.5,20_3,20_3.5,20_4,25_2.5,25_3,25_3.5,25_4
0,-0.0056532570817528875,-0.00794533906338784,-0.0010862897953687217,-0.002837303011676962,-0.0036183110838492686,-0.005503403865903466,-0.007388496647957663,-0.003034402840616375,-0.003524663886029759,-0.005391027228520054,-0.007257390571010349,-0.001594512129073213,-0.004528269453590235,-0.006595353909592595,-0.0005848186971843329,-0.002588719348109269
1,-0.007811621161299246,-0.012990099863415887,-0.010538107125644043,-0.019367340015296886,-0.005964724265187713,-0.011582489819900347,-0.015618870104418321,-0.013042621117027873,-0.004891185728293168,-0.01039763667309685,-0.015831672492183597,-0.011995768650870438,-0.0056560286430920245,-0.011892238235488786,-0.00822953529357921,-0.017064206760801903
2,-0.0090176964534732,-0.019444837468224084,-0.021781831621557102,-0.032556166099245484,-0.006294531112830049,-0.014606280444390093,-0.02553143677977788,-0.025681051354606344,-0.0054677138063541015,-0.014688363939432979,-0.024464242740563403,-0.025528560447300935,-0.006476069119805269,-0.017842775277656747,-0.016476464518051993,-0.03015774790186554
3,-0.01700539082647718,-0.016544708580773164,-0.02505915829907866,-0.042655993071516234,-0.00984502712678765,-0.022763910934650286,-0.025807538702250502,-0.032365184363361436,-0.014770068910773128,-0.021748854635139075,-0.02410468429510967,-0.031489248376536605,-0.016992204964124243,-0.024572716524299702,-0.015195917770258728,-0.0350702590227907
4,-0.021509443277962562,-0.017709200135967464,-0.030591676129841427,-0.05338343091603356,0.0002959510898492314,-0.01728231367622287,-0.029871939569242834,-0.04142051279958074,-0.017403657241724716,-0.017666131805691317,-0.030601168920985265,-0.03943120519569529,-0.019349544697619257,-0.019699348426827384,-0.021474669931074702,-0.04276337873902401
5,-0.013524802149073745,-0.037755980333230424,-0.03768485114628278,-0.06497824016690686,0.004269866857059709,-0.017185175350372152,-0.04082230425879855,-0.05435577735108793,-0.009202454148855772,-0.01672893905886769,-0.04644092605256636,-0.060385170554800825,-0.010488193841038936,-0.018680739941786883,-0.04088767273860482,-0.06276531677898747
6,-0.011370105631763484,-0.048412832578784475,-0.05210037655168054,-0.08123246889369336,-0.011256804392309454,-0.036871785829450346,-0.05440175437157915,-0.05489192346169106,-0.0045268978078323975,-0.03422711843789231,-0.059522960605718815,-0.07473835606902762,-0.005655821747748127,-0.0353697967298095,-0.0578930020331196,-0.07791107959753041
7,-0.027197262349117828,-0.05392542088950178,-0.06202757560585962,-0.10087563512070617,-0.020007345577887095,-0.0477527010137626,-0.06546490264374487,-0.029966703990520982,-0.01916627740218267,-0.04704503936330935,-0.07213608327660004,-0.0602120451601982,-0.019620932516263404,-0.04922725724962884,-0.07108053908622297,-0.06112693885043343
8,-0.0357610844190636,-0.062054267933455504,-0.06721328863576356,-0.10781602479195937,-0.02580514430195035,-0.055504245867363675,-0.07474607967909198,-0.03569452991893337,-0.028194561830638912,-0.060513415762839445,-0.05257770706717053,-0.03687601110247666,-0.029516907248865305,-0.06323597779869494,-0.08415534673089452,-0.03522497153218372
9,-0.039693086024057016,-0.07035390794196533,-0.0651062269093573,-0.107284449652191,-0.034186847278598755,-0.06736443198627229,-0.05888417322419849,-0.04946021381023953,-0.03875638684297632,-0.07194724568778132,-0.01983131172273124,-0.04239027749862729,-0.040529019052482546,-0.07364147006041523,-0.06530628473645807,-0.0412821358475144
