,10_2.5,10_3,10_3.5,10_4,15_2.5,15_3,15_3.5,15_4,20_2.5,20_3,20_3.5,20_4,25_2.5,25_3,25_3.5,25_4
0,-0.0056532570817528875,-0.00794533906338784,0.0011309681637050226,-0.0002698424093415699,-0.0036183110838492686,-0.005503403865903466,-0.007388496647957663,-0.0004275222724931002,-0.003524663886029759,-0.005391027228520054,-0.007257390571010349,0.0007243902967414295,-0.004528269453590235,-0.006595353909592595,0.0015321450422525337,-7.097547848741503e-05
1,-0.005379948345389974,-0.009981147703410277,-0.0083208491665703,-0.016799879412961495,-0.003495441628920024,-0.008366672629100971,-0.015618870104418321,-0.010435740548904598,-0.002617881359840486,-0.00739631478418149,-0.015831672492183597,-0.009676866225055794,-0.0034304768051916664,-0.008832861370309548,-0.006112571554142342,-0.01454646289118005
2,-0.004344808579129138,-0.016435885308218476,-0.01956457366248336,-0.029988705496910087,-0.0017592871070338926,-0.00878570512869277,-0.025531436779777882,-0.023074170786483064,-0.0010791038222892325,-0.008828896597250393,-0.024464242740563403,-0.02320965802148629,-0.002086509186562262,-0.01478339841247751,-0.014359500778615126,-0.02764000403224369
3,-0.012332502952133116,-0.008695807975747922,-0.020186435004500604,-0.036068567074726686,-0.005309783120991495,-0.016943335618952962,-0.02375231831775598,-0.02642147719348714,-0.010381458926708258,-0.01588938729295649,-0.022176595984200412,-0.025978208364874827,-0.012602645030881236,-0.021513339659120466,-0.011335063380380515,-0.02957001292898381
4,-0.016836555403618496,-0.0076274012199033635,-0.025718952835263372,-0.046796004919244,0.006774803808990635,-0.007654377263896513,-0.02781671918474831,-0.03547680562970644,-0.013015047257659845,-0.010623209029398284,-0.02867308061007601,-0.03392016518403352,-0.01495998476437625,-0.01561464518114261,-0.01761381554119649,-0.03726313264521713
5,-0.006045770726285207,-0.027674181417166325,-0.032812127851704724,-0.05839081417011731,0.011953936422759017,-0.005576666603215938,-0.038767083874304026,-0.04841207018121363,-0.002094325401938478,-0.007873454831939382,-0.04451283774165711,-0.05487413054313905,-0.0036431742504280584,-0.012799758393110207,-0.037026818348726606,-0.05726507068518059
6,-0.0023220135124369977,-0.03833103366272037,-0.04722765325710248,-0.07464504289690382,-0.003572734826610147,-0.02526327708229413,-0.05234653398708464,-0.0427337578475755,0.003646119670880222,-0.025371634210964,-0.05759487229480957,-0.06922731605736585,0.0022227234242045892,-0.02948881518113283,-0.054032147643241386,-0.07241083350372352
7,-0.01814917022979134,-0.04384362197343768,-0.05715485231128157,-0.09428820912391662,-0.012323276012187787,-0.03614419226660639,-0.06340968225925034,-0.017748713953341485,-0.01099325992347005,-0.038189555136381045,-0.0702079949656908,-0.05141679169383408,-0.011742387344310688,-0.043346275700952175,-0.06721968469634476,-0.04905400535430411
8,-0.02671299229973712,-0.0519724690173914,-0.05930342273520472,-0.09784052086091918,-0.01812107473625104,-0.04389573712020746,-0.06883462388752803,-0.0203309746960714,-0.02002154435192629,-0.05165793153591114,-0.046296319723804887,-0.026749584882289762,-0.021638362076912592,-0.05735499625001827,-0.08029449234101631,-0.023873611890654164
9,-0.030644993904730536,-0.06027210902590123,-0.05203918569936095,-0.09152157577705816,-0.02650277771289945,-0.05575592323911607,-0.05048986130557063,-0.034096658587377565,-0.030583369364263698,-0.063091761460853,-0.01629631972380488,-0.029160997999210264,-0.03265047388052983,-0.06776048851173855,-0.056524679942129,-0.02671934334291871
10,-0.03692685495107082,-0.061016938136744844,-0.022039185699360954,-0.06654876762542677,-0.0338216934263822,-0.0649469552319403,-0.020489861305570622,-0.047855554557639506,-0.047575350782422844,-0.0736998839541185,-0.026894350078070586,-0.02975212956132234,-0.04139080721267624,-0.0787643409825387,-0.026524679942128992,-0.0393268718605745
11,-0.043502944010958125,-0.04177858693543269,-0.02549875780523514,-0.06943431177804872,-0.04528218061071261,-0.0679597808299968,-0.025140990234057005,-0.053412630605063495,-0.0561617446473967,-0.07613384500155186,-0.028650470587617285,-0.04325233639203093,-0.05022090996827723,-0.08052559013462657,-0.03664744051365453,-0.04635881071180356
12,-0.0428440318087222,-0.03152998261141274,-0.027060245276794608,-0.08230423853205862,-0.05284033600244129,-0.04376235126558087,-0.027016121632469758,-0.05999281705763934,-0.06660403415633212,-0.050906684833202924,-0.026321563890961307,-0.056517680353801364,-0.06052594800261442,-0.07018667333891859,-0.03870184952758363,-0.0535478614077303
13,-0.049389855897630064,-0.038603394963441,-0.023980287718261505,-0.09518411308444047,-0.04386909468867128,-0.01376235126558087,-0.024631198315711752,-0.07466904257657347,-0.07567618040067456,-0.020906684833202915,-0.03761545106894395,-0.063180241944927,-0.06007956275296603,-0.040186673338918594,-0.03736569227204727,-0.07291857030010557
14,-0.04976626761352441,-0.038790913955716745,-0.033539482443265524,-0.10057988990039063,-0.029814889103491914,-0.020536531980434,-0.03617087289615277,-0.10822838587129054,-0.06468555583273687,-0.027235349903490948,-0.047807331435494795,-0.04735533985607661,-0.06994734819770454,-0.04738507728077698,-0.04851205147383749,-0.1047824611008362
15,-0.0356106532080085,-0.047718808194043894,-0.04285018668342124,-0.08565281311290064,-0.03505899257737676,-0.020900828651679346,-0.04632549480112263,-0.07822838587129054,-0.06609925810191514,-0.016177609158494036,-0.052987833241999585,-0.0631841924774092,-0.05662148293461661,-0.03659108269503139,-0.06041270618134714,-0.0747824611008362
16,-0.04140794764039237,-0.043392945365180416,-0.047272411030881395,-0.09102047036949568,-0.02293270424289111,-0.029306890811331684,-0.05053869675688848,-0.09092695741164473,-0.05278601924662641,-0.024424389225705126,-0.05890633234839529,-0.09845419864115054,-0.054118570443591425,-0.03375990584016514,-0.0657490032744322,-0.08480728653873987
17,-0.029251387801953382,-0.05111309636099122,-0.05247577937421949,-0.12659213491158805,-0.02992307738466774,-0.02557677161827551,-0.05514443881628989,-0.08646970586981631,-0.05765885968337375,-0.02074228427845063,-0.05090657809349114,-0.06845419864115056,-0.04043332548063106,-0.04080627090970048,-0.07083744987771334,-0.08079410745658694
18,-0.036676621009292296,-0.059576874463867995,-0.04598937388915126,-0.09659213491158805,-0.024847762315313267,-0.036457318524170314,-0.04843770233474652,-0.07357986102452126,-0.06630992637582639,-0.028458396753253165,-0.08551627451128593,-0.07817347147271984,-0.044965722133819205,-0.05103587898816882,-0.061958591833004666,-0.06763653066424488
19,-0.03110485291009858,-0.06784164064589696,-0.049647199228008795,-0.06659213491158807,-0.030927139596505723,-0.04685090568728847,-0.08333487262264092,-0.09186713779364894,-0.0541191624459894,-0.039021061078695705,-0.09066493180321719,-0.07344895419586014,-0.04614551450666851,-0.059311717547977,-0.09315065488702576,-0.08760021128861663
20,-0.036658037684605696,-0.07109531038963449,-0.08084642653215422,-0.07767496563680495,-0.038276535930842515,-0.0556150178004791,-0.08767301036293365,-0.11365451507314318,-0.060976800510731566,-0.04726595032256555,-0.08910764480327917,-0.06004948536387496,-0.034256000904154565,-0.06295237288291818,-0.12336758889123253,-0.10563673211445987
21,-0.04253914495122311,-0.07418165724889021,-0.05084642653215421,-0.0723932973077373,-0.046772527012460215,-0.05848434566458684,-0.11740828491717202,-0.08866317362574895,-0.055941497312878556,-0.050958947737876674,-0.05910764480327917,-0.07929085591798617,-0.04145106992485086,-0.06594021539355373,-0.15132251417168632,-0.08057432133046478
22,-0.049139678479774324,-0.05787262780278162,-0.0208464265321542,-0.055413720656529206,-0.054145064075177315,-0.0611156433308138,-0.08740828491717202,-0.1079021870504707,-0.061360159726900766,-0.05465826382261038,-0.06331104376412215,-0.09671801499352987,-0.037124873470654726,-0.05569253075101848,-0.12132251417168632,-0.0906475792581005
23,-0.05758496861496644,-0.08817605754972975,-0.02890246471165731,-0.07232507716476971,-0.049857281407854254,-0.0451555025379153,-0.05740828491717204,-0.09080416277288669,-0.06852341181856207,-0.037885451320805875,-0.056994025379570185,-0.07143112447351747,-0.04201236718941157,-0.08039611965786499,-0.12587996820728045,-0.07238386127167913
